Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Aces Per Match,Avg Double Faults/Match,Surface
Neil Borwick,264.5,64.60%,69.60%,49.70%,77.60%,5.6,2.6,All
James Blake,264.4,57.90%,72.60%,51.10%,79.70%,5.9,2.8,All
Robby Ginepri,264.4,62.40%,69.20%,51.70%,77.70%,5.7,2.3,All
Jordan Thompson,264.4,63.80%,70.30%,48.80%,77.90%,6,2.4,All
David Wheaton,264.4,60.00%,73.70%,47.90%,79.40%,7.9,4.5,All
Nikolay Davydenko,264.3,66.90%,68.20%,51.20%,77.40%,3.2,2.6,All
Carlos Moya,264.3,58.60%,71.80%,51.60%,79.70%,5.2,2.6,All
John McEnroe,264.3,56.60%,75.30%,49.80%,81.10%,5.5,4,All
Marc-Kevin Goellner,264.2,51.90%,78.60%,48.00%,79.70%,10.7,4.7,All
Ryan Harrison,264.2,59.50%,71.80%,50.40%,78.80%,7.1,3.4,All
Mariano Puerta,264.1,65.10%,68.70%,51.50%,77.30%,3.5,2,All
Paradorn Srichaphan,264.1,56.80%,73.30%,51.60%,79.50%,6.3,3.4,All
Wayne Ferreira,263.9,55.40%,74.40%,50.20%,79.70%,7.2,3,All
Jakob Hlasek,263.8,59.30%,74.00%,48.60%,79.40%,6,3.5,All
Cyril Saulnier,263.7,56.10%,73.30%,51.30%,79.00%,7.1,3.1,All
Xavier Malisse,263.6,56.80%,73.10%,50.90%,78.20%,6.8,2.2,All
Gary Muller,263.6,57.60%,74.40%,47.70%,78.80%,9.2,4.1,All
Igor Sijsling,263.6,58.90%,73.20%,48.70%,78.10%,7.2,2.5,All
Aljaz Bedene,263.5,56.90%,74.10%,49.00%,77.90%,8.5,2.9,All
Richard Fromberg,263.5,58.80%,74.10%,47.60%,78.30%,8.4,3.7,All
Yannick Hanfmann,263.5,64.70%,69.10%,49.00%,78.10%,4.7,2.1,All
Ramkumar Ramanathan,263.5,58.60%,74.20%,47.60%,79.40%,7.8,4.1,All
Robert Kendrick,263.4,58.40%,74.00%,47.40%,78.30%,9.6,4.3,All
Karel Novacek,263.4,56.90%,73.40%,50.00%,79.20%,6.2,2.3,All
Michael Berrer,263.3,64.10%,70.90%,48.40%,77.60%,5.7,3.4,All
Marcos Baghdatis,263.3,53.10%,74.80%,51.50%,79.90%,7.3,3.3,All
Brian Dabul,263.3,68.00%,67.80%,50.30%,76.60%,2.3,1.7,All
Ivan Dodig,263.3,58.70%,72.50%,49.40%,77.70%,8.2,3.2,All
Brian MacPhie,263.2,56.60%,74.10%,48.90%,79.30%,8.4,4.1,All
Marcelo Rios,263.2,57.60%,71.30%,53.00%,79.50%,4.6,2.8,All
