Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Paul Capdeville,160.1,41.90%,56.30%,28.60%,33.30%,Clay
Sandor Noszaly,159.7,42.20%,54.80%,29.40%,33.30%,Clay
Olivier Patience,159.5,38.50%,59.00%,20.80%,41.20%,Clay
Daniil Medvedev,158.5,34.50%,55.60%,22.20%,46.20%,Clay
Ugo Humbert,158,35.10%,62.90%,60.00%,0.00%,Clay
Dinu Pescariu,156.3,43.30%,55.00%,31.30%,26.70%,Clay
Bernard Tomic,155.6,33.50%,60.20%,28.60%,33.30%,Clay
Andre Sa,154.2,39.20%,53.10%,28.60%,33.30%,Clay
Andrey Golubev,153.3,40.30%,57.60%,42.10%,13.30%,Clay
Damir Dzumhur,152.1,43.10%,53.90%,7.70%,47.40%,Clay
Tobias Kamke,151.8,41.60%,56.90%,20.00%,33.30%,Clay
Roberto Carretero,151.7,44.00%,54.90%,25.00%,27.80%,Clay
Daniel Evans,151.5,33.30%,53.20%,40.00%,25.00%,Clay
Joao Cunha-Silva,150.8,38.20%,54.30%,33.30%,25.00%,Clay
Karsten Braasch,148.6,37.50%,57.80%,20.00%,33.30%,Clay
Dudi Sela,144.4,35.10%,51.00%,58.30%,0.00%,Clay
Gaston Etlis,144.2,38.20%,60.80%,35.70%,9.50%,Clay
Martin Damm,143.8,33.70%,54.70%,12.50%,42.90%,Clay
Rui Machado,135.6,38.80%,55.10%,25.00%,16.70%,Clay
Jan-Michael Gambill,134.4,38.10%,54.10%,22.20%,20.00%,Clay
Gianluca Pozzi,133.9,35.20%,51.50%,25.00%,22.20%,Clay
Hugo Armando,132.2,34.20%,60.50%,25.00%,12.50%,Clay
Reilly Opelka,122.9,20.80%,64.60%,37.50%,0.00%,Clay
Alex de Minaur,88.5,30.30%,58.20%,0.00%,0.00%,Clay
,,,,,,
Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Alexander Bublik,256.3,41.30%,48.30%,66.70%,100.00%,Grass
Pete Sampras,254.8,40.40%,74.10%,64.10%,76.20%,Grass
Matteo Berrettini,254.5,34.20%,65.80%,54.50%,100.00%,Grass
Karen Khachanov,253.7,38.60%,66.90%,62.50%,85.70%,Grass
Roberto Bautista Agut,253.4,42.00%,65.00%,71.40%,75.00%,Grass
David Nalbandian,251.7,40.20%,57.90%,64.70%,88.90%,Grass
Andy Roddick,250.5,36.60%,71.00%,67.90%,75.00%,Grass
Roger Federer,248.7,41.20%,71.40%,69.40%,66.70%,Grass
Novak Djokovic,246.2,40.20%,68.40%,66.20%,71.40%,Grass
Simone Bolelli,245.8,36.90%,63.80%,73.70%,71.40%,Grass
Mardy Fish,245.2,38.40%,64.50%,55.60%,86.70%,Grass
Michael Stich,242.9,39.40%,70.90%,65.90%,66.70%,Grass
Mario Ancic,241.5,38.50%,70.50%,55.60%,76.90%,Grass
Kei Nishikori,241.3,40.60%,60.80%,61.30%,78.60%,Grass
Rafael Nadal,239.3,40.80%,69.30%,62.50%,66.70%,Grass
Felix Auger-Aliassime,238.6,37.90%,76.90%,57.10%,66.70%,Grass
Goran Ivanisevic,238.1,39.50%,71.00%,67.60%,60.00%,Grass
Karol Beck,237.6,40.20%,60.40%,64.30%,72.70%,Grass
Nicolas Escude,236.9,40.40%,65.10%,64.70%,66.70%,Grass
Patrick Rafter,236.6,40.50%,64.80%,66.10%,65.20%,Grass
Andy Murray,236.6,41.60%,68.70%,61.10%,65.20%,Grass
Tommy Robredo,235.3,34.10%,59.90%,56.70%,84.60%,Grass
Paradorn Srichaphan,235.3,38.10%,60.50%,70.00%,66.70%,Grass
Greg Rusedski,234.6,37.20%,70.10%,64.80%,62.50%,Grass
David Wheaton,234.2,38.40%,65.90%,66.70%,63.20%,Grass
Yevgeny Kafelnikov,234,39.50%,65.10%,61.20%,68.20%,Grass
Florian Mayer,234,37.00%,62.70%,62.90%,71.40%,Grass
Lleyton Hewitt,232.3,40.50%,64.50%,52.90%,74.40%,Grass
Boris Becker,232,39.90%,70.10%,55.30%,66.70%,Grass
Bryan Shelton,231.1,39.50%,67.90%,54.50%,69.20%,Grass
Xavier Malisse,230.9,42.50%,62.20%,69.70%,56.50%,Grass
Dmitry Tursunov,230.4,38.40%,64.20%,57.80%,70.00%,Grass
Philipp Kohlschreiber,229.7,37.60%,67.00%,63.60%,61.50%,Grass
Nick Kyrgios,229,38.20%,65.50%,55.30%,70.00%,Grass
Reilly Opelka,227.7,33.30%,69.40%,25.00%,100.00%,Grass
Lorenzo Sonego,227.4,31.90%,63.40%,57.10%,75.00%,Grass
Juan Carlos Ferrero,226.5,37.70%,65.50%,50.00%,73.30%,Grass
Marin Cilic,226.4,35.50%,68.00%,58.20%,64.70%,Grass
Thomas Johansson,226.3,41.90%,64.40%,50.00%,70.00%,Grass
Richard Krajicek,226.2,37.60%,68.60%,50.80%,69.20%,Grass
Milos Raonic,225.5,34.30%,72.60%,62.30%,56.30%,Grass
Mark Philippoussis,224.6,34.30%,71.50%,50.00%,68.80%,Grass
Sebastien Grosjean,224.4,40.30%,65.40%,64.90%,53.80%,Grass
Fabrice Santoro,224,36.90%,64.20%,62.90%,60.00%,Grass
Lucas Pouille,223.5,35.30%,65.20%,61.50%,61.50%,Grass
Jiri Vesely,223.2,34.80%,73.20%,55.20%,60.00%,Grass
Feliciano Lopez,222.7,35.00%,67.20%,56.90%,63.60%,Grass
Paul Haarhuis,222.5,44.40%,61.40%,50.00%,66.70%,Grass
Alexander Popp,222,43.80%,64.60%,50.00%,63.60%,Grass
Todd Martin,221.6,37.90%,65.70%,58.90%,59.10%,Grass
Marat Safin,221.6,36.90%,66.40%,56.80%,61.50%,Grass
David Prinosil,221.2,37.40%,66.80%,62.50%,54.50%,Grass
Arnaud Boetsch,220.9,34.80%,60.50%,70.00%,55.60%,Grass
Martin Lee,220.7,35.10%,52.10%,64.30%,69.20%,Grass
Jan Hernych,220.7,36.70%,61.00%,64.70%,58.30%,Grass
Radek Stepanek,219.6,39.20%,66.30%,52.60%,61.50%,Grass
Borna Coric,219.5,40.20%,62.60%,50.00%,66.70%,Grass
Stefan Edberg,219.1,38.60%,65.50%,56.70%,58.30%,Grass
Grigor Dimitrov,218.8,35.30%,64.70%,50.00%,68.80%,Grass
Hendrik Dreekmann,218.8,37.30%,62.70%,64.30%,54.50%,Grass
Wayne Ferreira,218.7,40.80%,63.10%,41.70%,73.10%,Grass
John Isner,218.3,34.30%,69.00%,70.60%,44.40%,Grass
Olivier Rochus,218.2,42.60%,60.90%,48.00%,66.70%,Grass
Jonas Bjorkman,218.1,40.30%,63.90%,56.00%,57.90%,Grass
Rajeev Ram,217.5,37.00%,62.80%,63.20%,54.50%,Grass
Laurence Tieleman,217.5,33.90%,61.90%,46.70%,75.00%,Grass
Ivan Dodig,217.2,37.90%,63.10%,59.10%,57.10%,Grass
Viktor Troicki,216.5,35.00%,59.00%,60.00%,62.50%,Grass
Jo-Wilfried Tsonga,216.4,36.00%,72.70%,52.70%,55.00%,Grass
Byron Black,216.3,44.10%,57.20%,48.30%,66.70%,Grass
Fernando Gonzalez,216.1,37.80%,61.20%,61.50%,55.60%,Grass
Gianluca Pozzi,215.8,40.10%,63.60%,53.80%,58.30%,Grass
Hicham Arazi,215.5,42.20%,59.00%,47.60%,66.70%,Grass
Adrian Mannarino,215.4,44.00%,62.70%,48.70%,60.00%,Grass
Jim Courier,215.2,43.30%,62.50%,63.20%,46.20%,Grass
Cedric Pioline,215.2,35.00%,65.80%,59.40%,55.00%,Grass
Yen-Hsun Lu,215.2,36.80%,61.70%,66.70%,50.00%,Grass
Scott Draper,214.8,38.60%,58.00%,68.20%,50.00%,Grass
Gilles Simon,214.7,41.00%,64.70%,57.40%,51.60%,Grass
Dudi Sela,214.3,42.50%,59.80%,52.00%,60.00%,Grass
Miomir Kecmanovic,214,32.70%,71.70%,42.90%,66.70%,Grass
Todd Woodbridge,213.7,38.70%,60.00%,54.10%,60.90%,Grass
Wally Masur,213.6,40.30%,61.70%,58.30%,53.30%,Grass
Juan Martin del Potro,212.7,38.40%,64.30%,60.00%,50.00%,Grass
Andreas Seppi,212.7,37.60%,61.20%,44.20%,69.70%,Grass
Javier Frana,212.6,39.00%,67.10%,68.00%,38.50%,Grass
Alexander Volkov,212.5,42.80%,58.80%,42.10%,68.80%,Grass
Sam Querrey,211.7,34.10%,70.00%,57.60%,50.00%,Grass
Tim Henman,211.3,38.60%,63.50%,48.20%,61.00%,Grass
Sandon Stolle,210.9,38.40%,67.10%,51.60%,53.80%,Grass
Richey Reneberg,210.7,38.70%,61.80%,45.50%,64.70%,Grass
Tommy Haas,210.5,36.20%,65.40%,51.80%,57.10%,Grass
Janko Tipsarevic,210.2,37.40%,63.30%,48.80%,60.70%,Grass
Bernard Tomic,210,36.70%,65.60%,55.30%,52.40%,Grass
Philipp Petzschner,209.9,37.60%,62.90%,56.50%,52.90%,Grass
Fabio Fognini,209.8,42.20%,55.30%,43.50%,68.80%,Grass
Steve Darcis,209.5,37.20%,63.60%,46.20%,62.50%,Grass
Michael Llodra,209.3,37.90%,66.90%,39.50%,65.00%,Grass
Steve Johnson,209,40.20%,65.50%,50.00%,53.30%,Grass
Nicolas Mahut,208.5,40.50%,66.00%,45.30%,56.70%,Grass
Alexandr Dolgopolov,208.4,36.00%,65.70%,56.70%,50.00%,Grass
James Blake,208.3,40.50%,65.20%,52.60%,50.00%,Grass
Kevin Anderson,208.3,33.60%,62.80%,55.40%,56.50%,Grass
Gilles Muller,208.3,31.80%,71.90%,56.30%,48.30%,Grass
Shuzo Matsuoka,208.2,33.50%,68.00%,60.00%,46.70%,Grass
Tomas Berdych,207.8,35.70%,65.70%,53.80%,52.60%,Grass
Daniil Medvedev,207.7,40.70%,63.20%,58.30%,45.50%,Grass
Martin Damm,207.6,37.80%,63.10%,40.00%,66.70%,Grass
Alexander Zverev,207.5,42.40%,61.80%,50.00%,53.30%,Grass
Robin Soderling,207.5,42.40%,66.80%,48.30%,50.00%,Grass
Denis Kudla,207.3,46.50%,60.80%,42.90%,57.10%,Grass
Leander Paes,207,40.30%,60.00%,40.00%,66.70%,Grass
Jerome Golmard,206.9,34.30%,61.10%,61.50%,50.00%,Grass
Stefanos Tsitsipas,206.8,29.80%,60.30%,50.00%,66.70%,Grass
Brett Steven,206.5,41.90%,64.00%,38.10%,62.50%,Grass
Jurgen Melzer,206.3,35.50%,62.90%,47.90%,60.00%,Grass
Magnus Gustafsson,206.2,39.50%,64.20%,62.50%,40.00%,Grass
Sjeng Schalken,206.1,42.00%,61.50%,50.00%,52.60%,Grass
Petr Korda,205.8,37.10%,64.90%,58.30%,45.50%,Grass
Guillermo Garcia-Lopez,205.7,39.40%,60.30%,47.20%,58.80%,Grass
Ivo Karlovic,205.5,30.00%,73.30%,53.50%,48.70%,Grass
Fernando Verdasco,205.4,37.70%,69.10%,46.90%,51.70%,Grass
Guido Pella,205.4,28.00%,67.80%,66.70%,42.90%,Grass
Jacco Eltingh,205.3,37.30%,66.90%,55.60%,45.50%,Grass
Sargis Sargsian,205.1,36.90%,61.10%,68.20%,38.90%,Grass
Marc Rosset,205.1,36.20%,59.30%,66.70%,42.90%,Grass
Denis Istomin,204.7,34.60%,67.90%,58.20%,44.00%,Grass
Jason Stoltenberg,204.4,40.20%,60.40%,50.00%,53.80%,Grass
Wayne Arthurs,203.7,30.00%,69.70%,54.00%,50.00%,Grass
Grant Stafford,203.6,42.00%,59.30%,55.60%,46.70%,Grass
Mark Woodforde,202.5,39.20%,60.60%,57.70%,45.00%,Grass
Santiago Giraldo,201.7,39.20%,61.80%,65.00%,35.70%,Grass
MaliVai Washington,201.5,38.40%,63.30%,43.50%,56.30%,Grass
Dominic Thiem,201.4,31.80%,66.70%,42.90%,60.00%,Grass
Richard Gasquet,201.1,38.50%,64.40%,48.20%,50.00%,Grass
Ernests Gulbis,201.1,33.30%,68.60%,36.70%,62.50%,Grass
Ugo Humbert,201,39.50%,68.60%,42.90%,50.00%,Grass
Jeremy Bates,200.8,36.50%,64.30%,50.00%,50.00%,Grass
Karol Kucera,200.7,42.40%,58.30%,50.00%,50.00%,Grass
David Goffin,200.7,38.20%,62.50%,50.00%,50.00%,Grass
Andre Agassi,200.6,39.70%,68.80%,56.40%,35.70%,Grass
Victor Hanescu,200.5,36.00%,63.80%,40.70%,60.00%,Grass
Michael Chang,199.6,43.20%,58.70%,44.80%,52.90%,Grass
Igor Andreev,199.3,37.90%,52.30%,59.10%,50.00%,Grass
Robin Haase,199.1,33.70%,66.50%,51.50%,47.40%,Grass
Mischa Zverev,198.3,36.10%,60.50%,51.70%,50.00%,Grass
Jarkko Nieminen,198.2,40.20%,59.80%,51.50%,46.70%,Grass
Chris Wilkinson,198.1,38.90%,56.30%,52.90%,50.00%,Grass
Henrik Holm,197.7,40.30%,60.70%,66.70%,30.00%,Grass
Matthew Ebden,197.5,38.00%,60.10%,43.80%,55.60%,Grass
Frank Dancevic,197.5,30.30%,67.80%,52.00%,47.40%,Grass
Andrei Olhovskiy,197.4,35.40%,60.80%,47.40%,53.80%,Grass
Gael Monfils,197,36.10%,61.50%,69.40%,30.00%,Grass
Ivan Ljubicic,196.6,30.90%,65.90%,46.90%,52.90%,Grass
Taylor Dent,196.3,38.90%,64.40%,54.50%,38.50%,Grass
Mikhail Youzhny,195.8,39.10%,63.40%,44.90%,48.40%,Grass
Guy Forget,195.6,35.50%,65.50%,34.60%,60.00%,Grass
Nicolas Kiefer,195.5,40.90%,58.40%,40.60%,55.60%,Grass
Jan Siemerink,195.1,36.00%,66.90%,46.70%,45.50%,Grass
Hyung-Taik Lee,194.7,33.80%,62.50%,52.20%,46.20%,Grass
Nikoloz Basilashvili,194.7,30.00%,59.10%,55.60%,50.00%,Grass
Guillermo Canas,194.3,36.30%,63.20%,56.30%,38.50%,Grass
Arnaud Clement,194,40.70%,64.00%,50.00%,39.30%,Grass
Marcos Baghdatis,193.8,40.30%,61.50%,44.20%,47.80%,Grass
Lukas Lacko,193.5,36.50%,59.20%,47.80%,50.00%,Grass
Kenneth Carlsen,192.6,34.30%,69.00%,54.80%,34.50%,Grass
Davide Sanguinetti,192.5,40.20%,58.70%,40.70%,52.90%,Grass
Daniel Evans,192.2,37.80%,61.80%,52.60%,40.00%,Grass
John Millman,191.5,37.80%,59.10%,37.50%,57.10%,Grass
Benjamin Becker,191.4,37.00%,64.30%,45.70%,44.40%,Grass
Alex O'Brien,191.3,36.10%,67.50%,52.40%,35.30%,Grass
Raemon Sluiter,191.1,38.40%,62.10%,53.80%,36.80%,Grass
Nicolas Almagro,191,37.00%,62.40%,34.50%,57.10%,Grass
Max Mirnyi,190.7,39.00%,62.60%,42.90%,46.20%,Grass
Mikhail Kukushkin,189.9,35.90%,68.70%,35.30%,50.00%,Grass
Alejandro Falla,189.6,38.50%,59.40%,50.00%,41.70%,Grass
Justin Gimelstob,189.4,33.80%,63.60%,48.50%,43.50%,Grass
Jeremy Chardy,188.9,34.10%,68.80%,36.00%,50.00%,Grass
Ryan Harrison,187.3,35.80%,63.70%,54.50%,33.30%,Grass
Robby Ginepri,186.8,38.50%,58.70%,42.90%,46.70%,Grass
Edouard Roger-Vasselin,186.5,37.10%,59.20%,36.40%,53.80%,Grass
Guillaume Raoux,186.2,39.80%,63.50%,40.00%,42.90%,Grass
Rainer Schuettler,185.8,38.70%,63.80%,40.40%,42.90%,Grass
Daniel Nestor,185.2,41.80%,57.70%,40.70%,45.00%,Grass
Daniel Vacek,185,37.40%,64.00%,38.10%,45.50%,Grass
Magnus Larsson,184.9,39.00%,62.30%,53.60%,30.00%,Grass
Taylor Fritz,184.8,38.90%,63.80%,57.10%,25.00%,Grass
Peter Wessels,184.8,37.30%,65.40%,42.10%,40.00%,Grass
David Ferrer,184.5,40.80%,62.10%,45.90%,35.70%,Grass
Leonardo Mayer,184.5,32.50%,67.10%,56.30%,28.60%,Grass
Antony Dupuis,184.3,33.10%,68.10%,41.40%,41.70%,Grass
Benoit Paire,184.3,42.00%,63.80%,45.20%,33.30%,Grass
Julien Benneteau,183.5,36.60%,59.50%,41.90%,45.50%,Grass
Nikolay Davydenko,182.7,43.30%,59.80%,42.10%,37.50%,Grass
Igor Kunitsyn,182.2,36.90%,58.90%,50.00%,36.40%,Grass
Jan-Michael Gambill,181.8,36.00%,65.00%,57.70%,23.10%,Grass
Marc-Kevin Goellner,180.2,32.80%,66.30%,27.30%,53.80%,Grass
Jeff Tarango,180.2,39.60%,60.20%,47.10%,33.30%,Grass
Vincent Spadea,180.2,38.80%,61.70%,38.50%,41.20%,Grass
Albert Ramos-Vinolas,180.1,35.10%,61.70%,33.30%,50.00%,Grass
Pablo Carreno Busta,179.8,24.50%,62.40%,42.90%,50.00%,Grass
Andrei Medvedev,179.6,36.00%,62.70%,47.60%,33.30%,Grass
Joao Sousa,178.9,35.50%,66.70%,22.20%,54.50%,Grass
Vasek Pospisil,178.1,33.00%,61.30%,40.90%,42.90%,Grass
Mark Petchey,177.4,40.70%,60.30%,40.00%,36.40%,Grass
Jiri Novak,176.5,42.80%,63.70%,50.00%,20.00%,Grass
Andrei Pavel,175.2,39.20%,56.60%,48.10%,31.30%,Grass
Dustin Brown,175,36.00%,68.20%,33.30%,37.50%,Grass
Paul-Henri Mathieu,173.2,33.80%,65.90%,44.10%,29.40%,Grass
Thomas Enqvist,173.1,40.30%,57.70%,29.60%,45.50%,Grass
Andrey Rublev,173,31.90%,56.10%,25.00%,60.00%,Grass
Jonathan Stark,172.3,34.10%,61.80%,40.00%,36.40%,Grass
Donald Young,171.9,37.40%,63.40%,11.10%,60.00%,Grass
Sergiy Stakhovsky,169.5,34.20%,64.20%,44.40%,26.70%,Grass
Jan-Lennard Struff,164.6,30.80%,69.00%,34.80%,30.00%,Grass
Marton Fucsovics,164.2,33.30%,53.80%,57.10%,20.00%,Grass
Michael Russell,162.9,37.10%,50.20%,38.10%,37.50%,Grass
Denis Shapovalov,162.8,24.40%,66.20%,22.20%,50.00%,Grass
Alex Bogdanovic,161.3,31.90%,64.40%,35.00%,30.00%,Grass
Dusan Lajovic,161.3,29.10%,65.60%,33.30%,33.30%,Grass
Stan Wawrinka,158.1,33.90%,65.10%,50.00%,9.10%,Grass
Marcel Granollers,150,35.10%,64.50%,30.40%,20.00%,Grass
James Ward,147.9,32.40%,63.40%,33.30%,18.80%,Grass
Hubert Hurkacz,145.3,28.30%,74.10%,42.90%,0.00%,Grass
Kyle Edmund,142.6,35.10%,64.90%,17.60%,25.00%,Grass
Alex de Minaur,135.1,32.50%,59.70%,42.90%,0.00%,Grass
Cristian Garin,126.3,45.10%,61.20%,20.00%,0.00%,Grass
Diego Schwartzman,121.7,42.60%,54.10%,25.00%,0.00%,Grass
Filip Krajinovic,79.9,20.80%,59.10%,0.00%,0.00%,Grass
Jannik Sinner,66.7,66.70%,0.00%,0.00%,0.00%,Grass
Casper Ruud,33.3,0.00%,33.30%,0.00%,0.00%,Grass
,,,,,,
Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Novak Djokovic,252.2,45.00%,66.10%,65.00%,76.10%,Hard
Pete Sampras,243,41.60%,67.50%,66.40%,67.50%,Hard
Roger Federer,241,41.40%,68.00%,65.40%,66.20%,Hard
Stefan Edberg,238.1,43.90%,64.40%,65.40%,64.40%,Hard
Andre Agassi,237.9,43.70%,65.60%,59.30%,69.30%,Hard
Andy Murray,237.7,43.50%,61.50%,59.10%,73.60%,Hard
Kei Nishikori,237.7,40.50%,60.00%,63.60%,73.60%,Hard
Jimmy Connors,237.6,41.90%,56.50%,69.20%,70.00%,Hard
Juan Martin del Potro,237.2,42.00%,64.60%,61.70%,68.90%,Hard
Daniil Medvedev,234.3,42.00%,64.10%,63.90%,64.30%,Hard
Andy Roddick,233.9,39.50%,68.20%,58.60%,67.60%,Hard
Nicolas Kiefer,232.4,43.00%,61.00%,64.00%,64.40%,Hard
Alberto Mancini,231.6,43.40%,57.20%,66.70%,64.30%,Hard
Rafael Nadal,231.3,42.50%,66.20%,58.10%,64.50%,Hard
Yevgeny Kafelnikov,230.7,42.10%,62.10%,55.90%,70.60%,Hard
Omar Camporese,229.8,45.10%,61.50%,52.60%,70.60%,Hard
Jo-Wilfried Tsonga,229,39.90%,67.50%,58.70%,62.90%,Hard
Jimmy Arias,227.9,44.70%,61.00%,61.10%,61.10%,Hard
Andrey Rublev,227.8,39.80%,63.70%,52.20%,72.10%,Hard
Jim Courier,227.4,42.10%,63.10%,59.70%,62.50%,Hard
Fred Gil,226.7,41.30%,59.80%,55.60%,70.00%,Hard
Thomas Muster,225.9,42.50%,62.40%,60.00%,61.00%,Hard
Milos Raonic,225.8,35.60%,69.70%,63.10%,57.40%,Hard
Guillermo Coria,225.6,43.20%,59.80%,68.80%,53.80%,Hard
Mats Wilander,225.3,45.60%,58.80%,60.90%,60.00%,Hard
Tommy Haas,224.9,40.80%,62.20%,58.60%,63.30%,Hard
Michael Chang,224.7,44.60%,60.80%,52.60%,66.70%,Hard
Marcelo Rios,223.8,44.00%,62.40%,62.20%,55.20%,Hard
Amos Mansdorf,223.6,43.00%,61.80%,58.30%,60.50%,Hard
John Isner,223.6,30.50%,70.10%,61.10%,61.90%,Hard
Brad Gilbert,223.3,44.50%,61.00%,54.50%,63.30%,Hard
Joachim Johansson,222.3,36.50%,72.50%,50.80%,62.50%,Hard
Jaime Yzaga,221,42.40%,58.20%,62.30%,58.10%,Hard
Boris Becker,220.8,40.70%,66.40%,55.60%,58.10%,Hard
Karel Novacek,220.8,37.80%,64.20%,53.80%,65.00%,Hard
Patrick Rafter,220.7,40.70%,64.30%,51.10%,64.60%,Hard
Nick Kyrgios,220.6,39.70%,67.30%,58.90%,54.70%,Hard
Hendrik Dreekmann,220.4,39.40%,60.10%,63.20%,57.70%,Hard
Lleyton Hewitt,220.2,43.20%,61.70%,50.00%,65.30%,Hard
Sergi Bruguera,219.7,41.50%,58.20%,62.10%,57.90%,Hard
Gael Monfils,219.7,40.90%,61.80%,56.60%,60.40%,Hard
Stefanos Tsitsipas,219.5,38.80%,63.70%,60.60%,56.40%,Hard
Alex de Minaur,218.8,43.30%,61.90%,56.10%,57.50%,Hard
Jan-Michael Gambill,218.8,41.20%,65.20%,49.60%,62.80%,Hard
Jannik Sinner,218.8,39.20%,68.60%,57.70%,53.30%,Hard
Carlos Moya,218.7,38.00%,63.70%,59.10%,57.90%,Hard
David Nalbandian,218.2,43.00%,61.10%,63.00%,51.10%,Hard
Ivan Ljubicic,218.1,36.00%,65.20%,55.00%,61.90%,Hard
Miomir Kecmanovic,217.8,42.10%,63.70%,48.40%,63.60%,Hard
Mikael Tillstrom,217.8,41.60%,58.70%,57.10%,60.40%,Hard
Magnus Norman,217.1,41.10%,62.00%,58.10%,55.90%,Hard
Todd Martin,217,41.10%,63.60%,57.10%,55.20%,Hard
Alexander Zverev,217,40.20%,62.70%,62.10%,52.00%,Hard
Lucas Pouille,216.9,39.60%,63.60%,49.40%,64.30%,Hard
Kevin Anderson,216.5,36.50%,66.40%,54.20%,59.40%,Hard
Fernando Gonzalez,216.4,38.90%,64.90%,55.60%,57.00%,Hard
Richard Gasquet,216.3,39.70%,61.30%,55.70%,59.60%,Hard
Borna Coric,216.2,40.50%,61.20%,53.00%,61.50%,Hard
Petr Korda,216.1,42.00%,60.90%,54.20%,59.00%,Hard
Stan Wawrinka,216.1,39.00%,63.90%,57.00%,56.20%,Hard
John McEnroe,215.8,45.20%,61.00%,42.90%,66.70%,Hard
Mark Philippoussis,215.7,37.50%,63.70%,56.80%,57.70%,Hard
Guy Forget,215.5,41.80%,64.70%,57.60%,51.40%,Hard
Magnus Larsson,215.5,38.10%,64.80%,57.00%,55.60%,Hard
Alex Corretja,215.2,38.90%,60.50%,56.70%,59.10%,Hard
Tommy Robredo,215.2,40.40%,61.80%,57.90%,55.10%,Hard
Greg Rusedski,215.1,37.80%,66.00%,56.50%,54.80%,Hard
Juan Carlos Ferrero,215,37.90%,62.60%,58.50%,56.00%,Hard
Soonwoo Kwon,214.8,35.50%,59.70%,52.90%,66.70%,Hard
Nicolas Escude,214.7,41.60%,60.60%,56.90%,55.60%,Hard
Fabio Fognini,214.7,42.60%,58.50%,57.80%,55.80%,Hard
Jan Kroslak,214.7,39.00%,61.00%,50.00%,64.70%,Hard
Mikael Pernfors,214.4,43.90%,60.40%,54.50%,55.60%,Hard
Yoshihito Nishioka,214.4,39.40%,60.00%,54.50%,60.50%,Hard
Daniel Evans,214.3,43.80%,62.50%,56.80%,51.20%,Hard
Grega Zemlja,214.3,39.50%,58.50%,62.50%,53.80%,Hard
Tomas Berdych,214.2,41.90%,64.30%,52.10%,55.90%,Hard
Thomas Enqvist,214.2,41.90%,61.60%,52.20%,58.50%,Hard
Gustavo Kuerten,214.2,39.50%,62.80%,55.70%,56.20%,Hard
Karol Kucera,214.1,42.90%,54.50%,50.60%,66.10%,Hard
Wayne Ferreira,214,41.30%,61.10%,47.30%,64.30%,Hard
Evgeny Korolev,214,42.70%,60.60%,58.80%,51.90%,Hard
Bernard Tomic,213.8,36.60%,64.30%,54.60%,58.30%,Hard
David Goffin,213.5,41.30%,59.80%,49.20%,63.20%,Hard
David Ferrer,213.4,42.30%,60.20%,48.60%,62.30%,Hard
Alexander Volkov,213.2,43.40%,62.20%,46.40%,61.20%,Hard
Gilles Simon,213.2,41.60%,60.50%,49.80%,61.30%,Hard
Richard Krajicek,213.1,39.40%,66.40%,50.70%,56.60%,Hard
Egor Gerasimov,213.1,35.30%,60.70%,57.10%,60.00%,Hard
Grigor Dimitrov,213,38.60%,63.70%,54.10%,56.60%,Hard
Mauricio Hadad,213,37.80%,57.40%,56.30%,61.50%,Hard
Alberto Berasategui,212.8,44.00%,57.80%,58.80%,52.20%,Hard
Felix Auger-Aliassime,212.7,40.50%,63.10%,59.10%,50.00%,Hard
Alexander Bublik,212.7,38.00%,61.10%,48.40%,65.20%,Hard
Marat Safin,212.4,38.90%,61.90%,52.90%,58.70%,Hard
Maurice Ruah,212.2,36.90%,53.90%,50.00%,71.40%,Hard
Derrick Rostagno,212.2,37.30%,59.60%,53.10%,62.20%,Hard
Todd Woodbridge,212.2,43.30%,59.60%,50.50%,58.80%,Hard
Damir Dzumhur,211.9,42.20%,57.00%,53.10%,59.60%,Hard
Marin Cilic,211.2,37.50%,63.20%,52.20%,58.30%,Hard
Andrei Chesnokov,211.1,41.60%,58.30%,55.90%,55.30%,Hard
Stefan Koubek,210.9,41.00%,56.70%,60.80%,52.40%,Hard
Gilles Muller,210.9,34.60%,66.80%,54.80%,54.70%,Hard
Adrian Voinea,210.9,41.60%,57.00%,57.80%,54.50%,Hard
Jan Siemerink,210.8,35.60%,64.80%,55.20%,55.20%,Hard
Roberto Bautista Agut,210.7,40.80%,62.50%,50.00%,57.40%,Hard
Goran Ivanisevic,210.4,40.40%,66.00%,51.20%,52.80%,Hard
Robin Soderling,210.4,42.20%,64.40%,50.90%,52.90%,Hard
Tim Henman,210.2,41.90%,62.80%,53.50%,52.00%,Hard
Mikhail Youzhny,210.2,42.70%,60.60%,50.80%,56.10%,Hard
Dmitry Tursunov,209.7,40.50%,63.60%,52.40%,53.20%,Hard
Richey Reneberg,209.7,41.30%,60.00%,60.00%,48.40%,Hard
Thomas Johansson,209.6,41.20%,61.20%,55.80%,51.40%,Hard
Denis Shapovalov,209.5,39.10%,66.10%,48.70%,55.60%,Hard
Kenneth Carlsen,208.9,37.00%,62.60%,53.20%,56.10%,Hard
Marcos Baghdatis,208.8,40.70%,59.60%,57.10%,51.40%,Hard
Nikolay Davydenko,208.8,44.10%,61.10%,54.50%,49.10%,Hard
