Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Peter Gojowczyk,200.8,38.90%,59.60%,45.80%,56.50%,All
Aljaz Bedene,200.7,38.50%,58.80%,49.60%,53.80%,All
Andreas Seppi,200.6,40.50%,59.50%,45.80%,54.80%,All
Victor Estrella Burgos,200.5,40.30%,58.70%,50.00%,51.50%,All
Slava Dosedel,200.5,42.90%,56.50%,52.50%,48.60%,All
Sjeng Schalken,200.4,41.30%,59.60%,48.90%,50.60%,All
Benoit Paire,200.3,40.00%,59.80%,50.50%,50.00%,All
Lucas Arnold Ker,200.1,44.10%,58.90%,50.00%,47.10%,All
Pat Cash,200.1,37.90%,61.00%,67.90%,33.30%,All
Carlos Costa,200,43.60%,56.90%,52.90%,46.60%,All
Roberto Carballes Baena,200,43.20%,58.50%,52.10%,46.20%,All
Jerzy Janowicz,200,36.40%,64.10%,49.50%,50.00%,All
Philipp Petzschner,200,37.80%,58.60%,54.30%,49.30%,All
Dominik Hrbaty,199.9,41.60%,59.70%,49.60%,49.00%,All
Xavier Malisse,199.8,41.20%,59.60%,51.70%,47.30%,All
Horst Skoff,199.7,41.40%,56.80%,43.40%,58.10%,All
Jeremy Bates,199.5,38.40%,57.40%,48.90%,54.80%,All
Pablo Carreno Busta,199.4,41.90%,60.60%,51.50%,45.40%,All
Sebastien Grosjean,199.4,41.40%,60.90%,56.70%,40.40%,All
Guillaume Rufin,199.4,38.80%,61.20%,56.50%,42.90%,All
Lloyd Harris,199.3,39.90%,58.70%,37.10%,63.60%,All
Andres Gomez,199.2,41.60%,60.20%,56.00%,41.40%,All
Adrian Voinea,199.2,40.60%,56.30%,54.40%,47.90%,All
Jerome Golmard,199.1,40.00%,60.10%,53.80%,45.20%,All
Guillermo Canas,199,41.90%,59.80%,50.60%,46.70%,All
Ernests Gulbis,199,37.40%,63.80%,47.10%,50.70%,All
Jan Gunnarsson,198.9,44.00%,54.90%,70.00%,30.00%,All
Steve Johnson,198.9,36.00%,65.90%,46.00%,51.00%,All
Kristof Vliegen,198.9,39.80%,56.30%,54.40%,48.40%,All
Guido Pella,198.7,37.40%,62.70%,47.50%,51.10%,All
Bryan Shelton,198.6,34.70%,63.30%,51.80%,48.80%,All
Janko Tipsarevic,198.6,39.60%,61.20%,48.80%,49.00%,All
Marzio Martelli,198.5,34.60%,61.50%,52.40%,50.00%,All
