Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Steve Johnson,128.4,27.00%,44.60%,17.70%,39.10%,Clay
Maximilian Marterer,128.1,29.10%,42.70%,16.60%,39.70%,Clay
Feliciano Lopez,127.1,28.70%,45.20%,17.40%,35.80%,Clay
Andreas Beck,126.6,27.80%,47.30%,17.70%,33.80%,Clay
Lorenzo Sonego,126.6,28.50%,45.90%,17.50%,34.70%,Clay
Alexander Waske,126.1,28.80%,45.30%,15.90%,36.10%,Clay
Horacio Zeballos,125.7,25.70%,46.20%,16.90%,36.90%,Clay
Max Mirnyi,125.5,28.70%,46.50%,16.70%,33.60%,Clay
Martin Damm,125.1,26.80%,47.40%,17.20%,33.70%,Clay
Jerzy Janowicz,125.1,28.80%,45.00%,17.30%,34.00%,Clay
Martin Rodriguez,124.2,28.80%,46.80%,17.50%,31.10%,Clay
Nick Kyrgios,124.1,24.70%,46.10%,16.10%,37.20%,Clay
Gilles Muller,123.5,25.80%,45.10%,15.70%,36.90%,Clay
Greg Rusedski,123.5,30.20%,44.80%,16.80%,31.70%,Clay
Peter Luczak,123.2,27.60%,44.70%,16.80%,34.10%,Clay
Ryan Harrison,122.8,26.10%,44.20%,14.70%,37.80%,Clay
Bernard Tomic,121.8,27.20%,44.80%,16.30%,33.50%,Clay
Daniel Brands,115.1,25.30%,44.80%,13.00%,32.00%,Clay
Benjamin Becker,113.1,25.50%,41.80%,13.50%,32.30%,Clay
Marius Copil,110.6,26.30%,42.50%,11.20%,30.60%,Clay
Wayne Arthurs,103.1,26.50%,39.00%,9.50%,28.10%,Clay
John Isner,102.9,23.80%,40.50%,10.00%,28.60%,Clay
Ivo Karlovic,97.8,21.80%,40.30%,8.10%,27.60%,Clay
Reilly Opelka,93.7,25.60%,39.60%,7.70%,20.80%,Clay
,,,,,,
Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Byron Black,159.8,27.90%,58.40%,29.40%,44.10%,Grass
Karol Kucera,159.3,32.10%,54.90%,29.90%,42.40%,Grass
Grant Stafford,157.2,29.80%,57.40%,28.00%,42.00%,Grass
Jannik Sinner,156.3,27.90%,43.50%,18.20%,66.70%,Grass
Andy Murray,153.8,30.30%,55.40%,26.50%,41.60%,Grass
Stefan Edberg,152.7,30.00%,56.10%,28.00%,38.60%,Grass
Brett Steven,152.6,28.90%,56.90%,24.90%,41.90%,Grass
David Nalbandian,152.5,30.00%,55.10%,27.20%,40.20%,Grass
Michael Chang,152.2,28.40%,55.50%,25.10%,43.20%,Grass
Alexander Volkov,152,26.50%,55.70%,27.00%,42.80%,Grass
Lleyton Hewitt,151.7,30.80%,53.70%,26.70%,40.50%,Grass
Todd Woodbridge,151.6,29.00%,56.80%,27.10%,38.70%,Grass
Jason Stoltenberg,151.4,30.70%,54.30%,26.20%,40.20%,Grass
Denis Kudla,151.3,29.00%,51.80%,24.00%,46.50%,Grass
Jonas Bjorkman,150.7,28.70%,55.80%,25.90%,40.30%,Grass
Novak Djokovic,150.4,31.00%,53.00%,26.20%,40.20%,Grass
Andre Agassi,149.3,27.70%,56.10%,25.80%,39.70%,Grass
David Ferrer,148.7,28.70%,54.50%,24.70%,40.80%,Grass
Chris Wilkinson,147.9,28.00%,56.60%,24.40%,38.90%,Grass
Sebastien Grosjean,147.7,29.90%,52.40%,25.10%,40.30%,Grass
Wayne Ferreira,147.6,27.90%,54.50%,24.40%,40.80%,Grass
Roberto Bautista Agut,147.2,27.80%,54.00%,23.40%,42.00%,Grass
Roger Federer,147.2,30.80%,51.10%,24.10%,41.20%,Grass
Nicolas Escude,146.9,31.70%,49.60%,25.20%,40.40%,Grass
Mark Petchey,146.8,29.90%,52.60%,23.60%,40.70%,Grass
Sjeng Schalken,146.8,27.70%,53.10%,24.00%,42.00%,Grass
Xavier Malisse,146.4,29.70%,50.70%,23.50%,42.50%,Grass
Diego Schwartzman,146.1,27.50%,52.10%,23.90%,42.60%,Grass
Tim Henman,145.9,29.80%,53.00%,24.50%,38.60%,Grass
Adrian Mannarino,145.7,27.30%,51.60%,22.80%,44.00%,Grass
Alexander Popp,145.7,28.40%,50.40%,23.10%,43.80%,Grass
Paul Haarhuis,145.3,26.20%,52.40%,22.30%,44.40%,Grass
Rafael Nadal,145.1,27.70%,53.40%,23.20%,40.80%,Grass
Nicolas Kiefer,145,28.00%,52.50%,23.60%,40.90%,Grass
Kei Nishikori,144.5,29.00%,52.20%,22.70%,40.60%,Grass
Magnus Gustafsson,144.4,27.30%,54.10%,23.50%,39.50%,Grass
Dudi Sela,144,27.50%,52.60%,21.40%,42.50%,Grass
Petr Korda,143.9,27.40%,55.60%,23.80%,37.10%,Grass
Fabio Fognini,143.7,28.90%,49.60%,23.00%,42.20%,Grass
Jiri Novak,143.6,26.90%,52.00%,21.90%,42.80%,Grass
Boris Becker,142.6,26.80%,53.70%,22.20%,39.90%,Grass
Gilles Simon,142.6,28.40%,51.60%,21.60%,41.00%,Grass
Yevgeny Kafelnikov,142.5,26.40%,52.90%,23.70%,39.50%,Grass
Jim Courier,142.3,24.80%,53.00%,21.20%,43.30%,Grass
Jeff Tarango,142.3,24.60%,56.50%,21.60%,39.60%,Grass
Gianluca Pozzi,142.2,28.80%,51.10%,22.20%,40.10%,Grass
Patrick Rafter,142.2,26.70%,52.80%,22.20%,40.50%,Grass
Alexander Zverev,142,27.70%,50.40%,21.50%,42.40%,Grass
Daniil Medvedev,142,27.10%,52.40%,21.80%,40.70%,Grass
Richey Reneberg,141.5,25.30%,54.50%,23.00%,38.70%,Grass
Arnaud Clement,141.5,26.90%,52.20%,21.70%,40.70%,Grass
Mikhail Youzhny,141.5,27.90%,51.80%,22.70%,39.10%,Grass
Hicham Arazi,141.2,27.50%,50.70%,20.80%,42.20%,Grass
Pete Sampras,140.7,25.20%,53.50%,21.60%,40.40%,Grass
Thomas Johansson,140.5,26.50%,51.00%,21.10%,41.90%,Grass
Olivier Rochus,140.3,25.00%,52.10%,20.60%,42.60%,Grass
Cristian Garin,140.2,26.80%,46.60%,21.70%,45.10%,Grass
Marcos Baghdatis,140.1,28.70%,49.80%,21.30%,40.30%,Grass
David Wheaton,139.9,24.70%,54.80%,22.00%,38.40%,Grass
Thomas Enqvist,139.8,23.70%,54.50%,21.30%,40.30%,Grass
David Goffin,139.6,28.50%,51.00%,21.90%,38.20%,Grass
James Blake,139.3,28.10%,49.50%,21.20%,40.50%,Grass
Leander Paes,139.2,25.90%,52.00%,21.00%,40.30%,Grass
Todd Martin,139.1,25.80%,54.60%,20.80%,37.90%,Grass
Guillermo Canas,139.1,30.90%,48.80%,23.10%,36.30%,Grass
Juan Martin del Potro,139.1,27.90%,51.20%,21.60%,38.40%,Grass
Davide Sanguinetti,139,26.90%,50.90%,21.00%,40.20%,Grass
Wally Masur,138.9,26.80%,51.10%,20.70%,40.30%,Grass
Andrei Pavel,138.8,27.20%,51.40%,21.00%,39.20%,Grass
Richard Gasquet,138.7,29.10%,49.90%,21.20%,38.50%,Grass
Rainer Schuettler,138.7,27.30%,50.80%,21.90%,38.70%,Grass
Vincent Spadea,138.2,26.70%,52.00%,20.70%,38.80%,Grass
Mark Woodforde,138.2,24.70%,53.40%,20.90%,39.20%,Grass
Benoit Paire,138.1,29.50%,47.10%,19.50%,42.00%,Grass
Nikolay Davydenko,137.9,27.20%,48.30%,19.10%,43.30%,Grass
Javier Frana,137.9,25.60%,52.80%,20.50%,39.00%,Grass
Andreas Seppi,137.6,28.40%,50.70%,20.90%,37.60%,Grass
Fabrice Santoro,137.2,27.70%,51.70%,20.90%,36.90%,Grass
Ugo Humbert,137,28.50%,48.90%,20.10%,39.50%,Grass
Andrey Rublev,137,29.90%,52.50%,22.70%,31.90%,Grass
Michael Stich,137,26.10%,51.50%,20.00%,39.40%,Grass
Guillaume Raoux,136.7,25.00%,51.90%,20.00%,39.80%,Grass
Guillermo Garcia-Lopez,136.5,27.90%,48.60%,20.60%,39.40%,Grass
Radek Stepanek,136.5,28.40%,48.90%,20.00%,39.20%,Grass
Mario Ancic,136.3,28.50%,49.10%,20.20%,38.50%,Grass
Sandon Stolle,136.3,25.60%,51.40%,20.90%,38.40%,Grass
Sargis Sargsian,136.2,27.90%,50.00%,21.40%,36.90%,Grass
Robby Ginepri,136.1,25.50%,52.20%,19.90%,38.50%,Grass
Magnus Larsson,136,23.80%,53.60%,19.60%,39.00%,Grass
Michael Llodra,135.6,28.20%,49.50%,20.00%,37.90%,Grass
Robin Soderling,135.6,26.30%,48.50%,18.40%,42.40%,Grass
MaliVai Washington,135.6,24.70%,52.10%,20.40%,38.40%,Grass
Daniel Evans,135.2,27.60%,49.70%,20.10%,37.80%,Grass
David Prinosil,135.2,25.40%,52.60%,19.80%,37.40%,Grass
Henrik Holm,135.1,28.50%,47.80%,18.50%,40.30%,Grass
Michael Russell,134.9,27.40%,50.20%,20.20%,37.10%,Grass
Jarkko Nieminen,134.9,26.20%,50.00%,18.50%,40.20%,Grass
Juan Carlos Ferrero,134.7,25.10%,51.80%,20.10%,37.70%,Grass
Jeremy Bates,134.7,26.30%,52.20%,19.70%,36.50%,Grass
Matthew Ebden,134.3,27.70%,49.10%,19.50%,38.00%,Grass
Taylor Dent,134.2,27.30%,48.60%,19.40%,38.90%,Grass
Martin Damm,134,24.90%,52.40%,18.90%,37.80%,Grass
Richard Krajicek,133.9,28.20%,49.00%,19.10%,37.60%,Grass
Mardy Fish,133.6,26.70%,49.70%,18.80%,38.40%,Grass
Igor Kunitsyn,133.4,25.70%,50.90%,19.90%,36.90%,Grass
Cedric Pioline,132.8,25.70%,52.40%,19.70%,35.00%,Grass
Jan Hernych,132.8,26.10%,51.30%,18.70%,36.70%,Grass
Steve Johnson,132.8,26.70%,48.20%,17.70%,40.20%,Grass
Raemon Sluiter,132.8,26.50%,49.00%,18.90%,38.40%,Grass
Nicolas Mahut,132.6,27.20%,46.70%,18.20%,40.50%,Grass
Hyung-Taik Lee,131.9,28.60%,49.50%,20.00%,33.80%,Grass
Bryan Shelton,131.8,22.00%,54.10%,16.20%,39.50%,Grass
Grigor Dimitrov,131.7,28.10%,49.10%,19.20%,35.30%,Grass
Paradorn Srichaphan,131.5,25.60%,49.70%,18.10%,38.10%,Grass
Daniel Nestor,131.5,22.50%,49.20%,18.00%,41.80%,Grass
Edouard Roger-Vasselin,131.5,27.10%,49.00%,18.30%,37.10%,Grass
Max Mirnyi,131.4,27.70%,47.00%,17.70%,39.00%,Grass
Tomas Berdych,131.2,26.40%,51.10%,18.00%,35.70%,Grass
Andrei Medvedev,131.2,25.10%,52.00%,18.10%,36.00%,Grass
John Millman,131.2,24.80%,50.70%,17.90%,37.80%,Grass
Scott Draper,130.9,26.20%,48.60%,17.50%,38.60%,Grass
Andrei Olhovskiy,130.9,26.40%,51.00%,18.10%,35.40%,Grass
Marcel Granollers,130.7,27.90%,48.20%,19.50%,35.10%,Grass
Martin Lee,130.7,26.80%,49.90%,18.90%,35.10%,Grass
Julien Benneteau,130.5,25.60%,49.90%,18.40%,36.60%,Grass
Karol Beck,130.4,26.80%,46.20%,17.20%,40.20%,Grass
Karen Khachanov,130.1,24.50%,49.50%,17.50%,38.60%,Grass
Alejandro Falla,130,26.70%,47.70%,17.10%,38.50%,Grass
Mikhail Kukushkin,130,28.00%,47.50%,18.60%,35.90%,Grass
Alexander Bublik,130,28.40%,42.00%,18.30%,41.30%,Grass
Dmitry Tursunov,130,25.70%,48.30%,17.60%,38.40%,Grass
Jurgen Melzer,129.9,27.00%,48.50%,18.90%,35.50%,Grass
Marin Cilic,129.8,27.80%,48.50%,18.00%,35.50%,Grass
Florian Mayer,129.8,25.40%,49.70%,17.70%,37.00%,Grass
Gael Monfils,129.7,28.70%,46.80%,18.10%,36.10%,Grass
Fernando Verdasco,129.7,26.70%,47.60%,17.70%,37.70%,Grass
Mischa Zverev,129.7,28.40%,47.10%,18.10%,36.10%,Grass
Philipp Petzschner,129.6,26.50%,47.60%,17.90%,37.60%,Grass
Arnaud Boetsch,129.5,24.40%,52.30%,18.00%,34.80%,Grass
Philipp Kohlschreiber,129.2,26.30%,48.40%,16.90%,37.60%,Grass
Donald Young,129.2,26.60%,47.10%,18.10%,37.40%,Grass
Janko Tipsarevic,128.9,23.80%,51.00%,16.70%,37.40%,Grass
Alex O'Brien,128.8,24.30%,50.40%,18.00%,36.10%,Grass
Marat Safin,128.8,24.50%,49.70%,17.70%,36.90%,Grass
Benjamin Becker,128.7,26.80%,46.70%,18.20%,37.00%,Grass
Jan Siemerink,128.6,24.80%,50.40%,17.40%,36.00%,Grass
Viktor Troicki,128.2,25.90%,50.00%,17.30%,35.00%,Grass
Jan-Michael Gambill,128.1,25.20%,49.10%,17.80%,36.00%,Grass
Tommy Robredo,128.1,26.60%,49.70%,17.70%,34.10%,Grass
Alexandr Dolgopolov,128,27.30%,47.40%,17.30%,36.00%,Grass
Ivan Dodig,127.8,25.80%,47.50%,16.60%,37.90%,Grass
Andy Roddick,127.6,26.20%,47.70%,17.10%,36.60%,Grass
Goran Ivanisevic,127.3,21.70%,50.60%,15.50%,39.50%,Grass
Igor Andreev,127.2,25.90%,47.00%,16.40%,37.90%,Grass
Jerome Golmard,127.1,22.50%,51.90%,18.40%,34.30%,Grass
Joao Sousa,126.9,26.10%,47.90%,17.40%,35.50%,Grass
Kyle Edmund,126.6,25.60%,49.60%,16.30%,35.10%,Grass
Bernard Tomic,126.6,23.50%,50.00%,16.40%,36.70%,Grass
Steve Darcis,126.4,26.00%,47.90%,15.30%,37.20%,Grass
Tommy Haas,126.4,25.00%,47.80%,17.40%,36.20%,Grass
Justin Gimelstob,126.3,25.70%,50.30%,16.50%,33.80%,Grass
Greg Rusedski,126,25.10%,47.60%,16.10%,37.20%,Grass
Sergiy Stakhovsky,126,26.50%,48.10%,17.20%,34.20%,Grass
Santiago Giraldo,125.7,23.90%,47.80%,14.80%,39.20%,Grass
Jo-Wilfried Tsonga,125.4,26.80%,45.30%,17.30%,36.00%,Grass
Jacco Eltingh,125.2,23.50%,48.00%,16.40%,37.30%,Grass
Kenneth Carlsen,125.1,26.20%,48.00%,16.60%,34.30%,Grass
Felix Auger-Aliassime,125,25.70%,45.50%,15.90%,37.90%,Grass
Yen-Hsun Lu,124.7,23.70%,49.50%,14.70%,36.80%,Grass
Fernando Gonzalez,124.3,23.70%,47.50%,15.30%,37.80%,Grass
Alex de Minaur,124,26.60%,47.80%,17.10%,32.50%,Grass
Rajeev Ram,124,25.50%,46.10%,15.40%,37.00%,Grass
Denis Istomin,123.8,26.40%,47.30%,15.50%,34.60%,Grass
Hendrik Dreekmann,123.6,19.50%,52.10%,14.70%,37.30%,Grass
Borna Coric,123.6,21.90%,47.00%,14.50%,40.20%,Grass
Jonathan Stark,123.4,23.00%,49.80%,16.50%,34.10%,Grass
Marc Rosset,123.4,23.00%,49.10%,15.10%,36.20%,Grass
Paul-Henri Mathieu,123.4,23.30%,50.60%,15.70%,33.80%,Grass
Marton Fucsovics,123.2,27.50%,45.50%,16.90%,33.30%,Grass
Stan Wawrinka,123.2,26.70%,46.20%,16.40%,33.90%,Grass
Matteo Berrettini,122.9,25.90%,46.10%,16.70%,34.20%,Grass
Mark Philippoussis,122.4,23.80%,49.00%,15.30%,34.30%,Grass
Laurence Tieleman,122.3,23.20%,48.70%,16.50%,33.90%,Grass
Taylor Fritz,121.8,22.90%,45.90%,14.10%,38.90%,Grass
Sam Querrey,121.7,25.90%,46.40%,15.30%,34.10%,Grass
Guy Forget,121.6,22.30%,48.70%,15.10%,35.50%,Grass
Daniel Vacek,121.5,21.20%,48.90%,14.00%,37.40%,Grass
Miomir Kecmanovic,121.4,21.30%,53.00%,14.40%,32.70%,Grass
Antony Dupuis,121.3,23.90%,48.20%,16.10%,33.10%,Grass
Lukas Lacko,121.1,24.10%,46.10%,14.40%,36.50%,Grass
Shuzo Matsuoka,121.1,24.40%,47.30%,15.90%,33.50%,Grass
Albert Ramos-Vinolas,121.1,24.20%,47.20%,14.60%,35.10%,Grass
Dustin Brown,120.9,23.60%,46.10%,15.20%,36.00%,Grass
Jeremy Chardy,120.8,24.40%,47.60%,14.70%,34.10%,Grass
Jiri Vesely,120.8,23.40%,47.70%,14.90%,34.80%,Grass
Nicolas Almagro,120.5,21.90%,47.90%,13.70%,37.00%,Grass
Ryan Harrison,120.2,24.50%,45.90%,14.00%,35.80%,Grass
Victor Hanescu,120.1,23.80%,45.80%,14.50%,36.00%,Grass
Lucas Pouille,119.9,23.40%,46.50%,14.70%,35.30%,Grass
Peter Wessels,119.9,24.50%,44.30%,13.80%,37.30%,Grass
Stefanos Tsitsipas,119.8,26.90%,47.90%,15.20%,29.80%,Grass
Feliciano Lopez,119.7,24.50%,45.50%,14.70%,35.00%,Grass
Milos Raonic,119.1,24.60%,46.60%,13.60%,34.30%,Grass
Kevin Anderson,118.9,25.10%,47.30%,12.90%,33.60%,Grass
Alex Bogdanovic,118.2,23.40%,49.30%,13.60%,31.90%,Grass
Robin Haase,117.6,24.30%,45.90%,13.70%,33.70%,Grass
James Ward,117.4,24.60%,46.50%,13.90%,32.40%,Grass
Leonardo Mayer,116.4,23.10%,47.80%,13.00%,32.50%,Grass
Dominic Thiem,116.4,25.10%,45.30%,14.20%,31.80%,Grass
Frank Dancevic,116.2,24.40%,46.30%,15.20%,30.30%,Grass
Simone Bolelli,115.3,24.30%,42.90%,11.20%,36.90%,Grass
Marc-Kevin Goellner,115.2,21.30%,47.90%,13.20%,32.80%,Grass
Guido Pella,115,22.50%,50.10%,14.40%,28.00%,Grass
Nick Kyrgios,114.9,22.80%,41.80%,12.10%,38.20%,Grass
Nikoloz Basilashvili,114.8,25.30%,45.60%,13.90%,30.00%,Grass
Ivan Ljubicic,114.4,23.30%,46.80%,13.40%,30.90%,Grass
Vasek Pospisil,114,24.30%,43.80%,12.90%,33.00%,Grass
Lorenzo Sonego,113.6,23.30%,45.10%,13.30%,31.90%,Grass
Jan-Lennard Struff,113.2,24.40%,45.10%,12.90%,30.80%,Grass
Hubert Hurkacz,112.7,26.70%,46.40%,11.30%,28.30%,Grass
Ernests Gulbis,108.9,22.70%,42.10%,10.80%,33.30%,Grass
Gilles Muller,106.9,21.50%,43.10%,10.50%,31.80%,Grass
John Isner,106.9,20.60%,42.70%,9.30%,34.30%,Grass
Wayne Arthurs,106.1,22.40%,43.80%,9.90%,30.00%,Grass
Denis Shapovalov,105.7,22.60%,48.10%,10.60%,24.40%,Grass
Reilly Opelka,104.1,20.00%,38.00%,12.80%,33.30%,Grass
Dusan Lajovic,101.8,20.50%,42.20%,10.00%,29.10%,Grass
Filip Krajinovic,101.2,20.30%,51.90%,8.20%,20.80%,Grass
Pablo Carreno Busta,100.3,24.30%,42.10%,9.40%,24.50%,Grass
Ivo Karlovic,99.2,20.80%,40.20%,8.20%,30.00%,Grass
Casper Ruud,61.9,14.10%,47.80%,0.00%,0.00%,Grass
,,,,,,
Player,Return Rating©,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Novak Djokovic,165.8,33.10%,55.70%,32.00%,45.00%,Hard
Michael Chang,165.5,32.70%,55.40%,32.80%,44.60%,Hard
Andy Murray,164.4,33.30%,55.30%,32.30%,43.50%,Hard
Andre Agassi,163.6,31.50%,56.10%,32.30%,43.70%,Hard
Stefan Edberg,163,33.60%,53.90%,31.60%,43.90%,Hard
John McEnroe,162.2,34.70%,51.40%,30.90%,45.20%,Hard
Christian Bergstrom,161.7,33.60%,51.90%,30.70%,45.50%,Hard
Guillermo Coria,160.8,33.10%,53.60%,30.90%,43.20%,Hard
Francisco Roig,160.1,33.30%,52.00%,30.50%,44.30%,Hard
Jimmy Connors,158.7,32.70%,53.60%,30.50%,41.90%,Hard
Lleyton Hewitt,158.6,31.60%,53.70%,30.10%,43.20%,Hard
David Ferrer,158.2,32.10%,54.10%,29.70%,42.30%,Hard
Diego Schwartzman,158,31.10%,55.50%,29.30%,42.10%,Hard
Nikolay Davydenko,157.7,31.70%,53.40%,28.50%,44.10%,Hard
Rafael Nadal,157.4,31.60%,54.10%,29.20%,42.50%,Hard
Ivan Lendl,157.4,31.10%,54.00%,29.40%,42.90%,Hard
Grant Stafford,156.5,32.10%,53.50%,28.30%,42.60%,Hard
Petr Korda,156.4,32.20%,53.10%,29.10%,42.00%,Hard
Flavio Saretta,156.4,32.10%,52.30%,28.70%,43.30%,Hard
David Nalbandian,155.9,30.40%,54.20%,28.30%,43.00%,Hard
Karol Kucera,155.3,32.50%,51.30%,28.60%,42.90%,Hard
Patrick McEnroe,155.1,29.00%,55.60%,28.00%,42.50%,Hard
Gilad Bloom,154.4,33.10%,49.10%,28.40%,43.80%,Hard
Aaron Krickstein,154.3,30.50%,53.90%,28.60%,41.30%,Hard
Amos Mansdorf,154.1,30.70%,52.60%,27.80%,43.00%,Hard
Jiri Novak,154,30.00%,53.20%,27.60%,43.20%,Hard
Brad Gilbert,153.9,32.90%,49.60%,26.90%,44.50%,Hard
Rainer Schuettler,153.9,31.30%,51.50%,27.00%,44.10%,Hard
Jonas Bjorkman,153.6,31.10%,53.50%,27.80%,41.20%,Hard
Omar Camporese,153.6,31.90%,50.00%,26.60%,45.10%,Hard
Marcos Ondruska,153.5,31.50%,51.60%,27.00%,43.40%,Hard
Marcelo Rios,153.2,28.90%,53.40%,26.90%,44.00%,Hard
Daniil Medvedev,152.9,30.20%,54.00%,26.70%,42.00%,Hard
Jonas Svensson,152.9,31.80%,51.00%,27.40%,42.70%,Hard
Steve Bryan,152.5,28.70%,54.50%,27.70%,41.60%,Hard
Todd Woodbridge,152.4,30.60%,52.00%,26.50%,43.30%,Hard
MaliVai Washington,152.2,31.50%,51.50%,27.10%,42.10%,Hard
Roger Federer,152.1,32.50%,51.00%,27.20%,41.40%,Hard
Jaime Oncins,152,31.80%,52.10%,27.00%,41.10%,Hard
Carl-Uwe Steeb,151.7,30.20%,51.70%,25.60%,44.20%,Hard
Andrei Cherkasov,151.6,29.10%,54.10%,26.80%,41.60%,Hard
Thomas Enqvist,151.6,28.80%,53.80%,27.10%,41.90%,Hard
David Goffin,151.6,30.00%,53.20%,27.10%,41.30%,Hard
Yevgeny Kafelnikov,151.5,29.10%,53.00%,27.30%,42.10%,Hard
Jimmy Arias,151.4,31.30%,50.20%,25.20%,44.70%,Hard
Richey Reneberg,151.4,30.00%,53.20%,26.90%,41.30%,Hard
Jim Courier,151.3,29.70%,53.00%,26.50%,42.10%,Hard
Luis Herrera,151.3,32.30%,51.60%,27.50%,39.90%,Hard
Mats Wilander,151.3,29.20%,51.10%,25.40%,45.60%,Hard
Byron Black,151.2,28.10%,54.80%,26.20%,42.10%,Hard
Andrei Chesnokov,151.1,30.60%,51.40%,27.50%,41.60%,Hard
Flavio Cipolla,151,31.10%,50.70%,26.00%,43.20%,Hard
Fabrice Santoro,151,31.30%,50.90%,26.40%,42.40%,Hard
Alberto Berasategui,150.9,28.10%,53.90%,24.90%,44.00%,Hard
Slava Dosedel,150.9,30.30%,52.70%,26.00%,41.90%,Hard
David Nainkin,150.9,27.80%,53.00%,25.50%,44.60%,Hard
Carsten Arriens,150.8,32.50%,50.20%,27.50%,40.60%,Hard
Aslan Karatsev,150.8,31.70%,52.30%,27.10%,39.70%,Hard
Alexander Volkov,150.8,29.60%,51.70%,26.10%,43.40%,Hard
Alex de Minaur,150.7,30.10%,52.20%,25.10%,43.30%,Hard
Gilles Simon,150.7,30.40%,52.60%,26.10%,41.60%,Hard
Hyeon Chung,150.6,29.90%,52.40%,26.10%,42.20%,Hard
Sebastien Grosjean,150.6,30.30%,51.20%,26.10%,43.00%,Hard
Nicolas Kiefer,150.6,30.40%,51.10%,26.10%,43.00%,Hard
Thomas Muster,150.5,27.70%,53.80%,26.50%,42.50%,Hard
Sergi Bruguera,150.4,29.80%,52.50%,26.60%,41.50%,Hard
Tomas Carbonell,150.4,29.40%,53.30%,27.10%,40.60%,Hard
Magnus Gustafsson,150.4,32.40%,51.10%,26.80%,40.10%,Hard
Roberto Bautista Agut,150.1,29.80%,53.40%,26.10%,40.80%,Hard
Tim Henman,150.1,32.00%,49.80%,26.40%,41.90%,Hard
Andrei Medvedev,150.1,29.90%,53.00%,26.20%,41.00%,Hard
Kei Nishikori,149.8,29.70%,53.00%,26.60%,40.50%,Hard
Vincent Spadea,149.7,29.00%,52.60%,25.40%,42.70%,Hard
Paul Goldstein,149.6,30.10%,51.70%,26.30%,41.50%,Hard
Juan Monaco,149.4,30.20%,51.60%,26.20%,41.40%,Hard
Jaime Yzaga,149.4,29.70%,51.60%,25.70%,42.40%,Hard
Michal Tabara,149.4,30.40%,51.50%,27.10%,40.40%,Hard
Nicolas Escude,149.3,30.70%,51.10%,25.90%,41.60%,Hard
Dominik Hrbaty,149.3,29.20%,52.40%,25.90%,41.80%,Hard
James Blake,149.2,30.40%,51.50%,25.70%,41.60%,Hard
Francisco Clavet,149,28.50%,52.50%,26.00%,42.00%,Hard
Mikhail Youzhny,149,29.50%,51.30%,25.50%,42.70%,Hard
Damir Dzumhur,148.9,30.50%,50.60%,25.60%,42.20%,Hard
Daniel Evans,148.8,29.90%,50.60%,24.50%,43.80%,Hard
Juan Martin del Potro,148.6,29.50%,51.80%,25.30%,42.00%,Hard
Mark Knowles,148.5,28.70%,51.00%,23.60%,45.20%,Hard
Guillermo Canas,148.2,31.50%,50.20%,25.60%,40.90%,Hard
Marton Fucsovics,148.1,31.70%,50.80%,25.60%,40.00%,Hard
Olivier Rochus,148.1,28.00%,53.30%,25.00%,41.80%,Hard
Mikael Tillstrom,148,29.30%,52.00%,25.10%,41.60%,Hard
Mark Woodforde,148,30.70%,51.70%,25.60%,40.00%,Hard
Juan Ignacio Chela,147.9,30.70%,51.00%,25.30%,40.90%,Hard
Arnaud Boetsch,147.4,30.80%,50.60%,25.10%,40.90%,Hard
Michael Joyce,147.4,27.70%,52.80%,24.70%,42.20%,Hard
Jean-Rene Lisnard,147.4,30.40%,51.40%,25.50%,40.10%,Hard
Dudi Sela,147.4,30.80%,50.70%,25.20%,40.70%,Hard
Tomas Berdych,147.3,28.80%,52.50%,24.10%,41.90%,Hard
Jason Stoltenberg,147.3,31.30%,50.10%,25.60%,40.30%,Hard
Yuki Bhambri,147.2,30.20%,49.50%,25.40%,42.10%,Hard
Carlos Costa,147.1,27.30%,53.20%,24.20%,42.40%,Hard
Andrey Rublev,147.1,29.20%,53.40%,24.70%,39.80%,Hard
Todd Witsken,147.1,30.80%,50.30%,24.40%,41.60%,Hard
Jan Hernych,146.9,30.30%,50.50%,24.10%,42.00%,Hard
Pete Sampras,146.9,29.80%,50.70%,24.80%,41.60%,Hard
Wayne Ferreira,146.8,30.30%,50.30%,24.90%,41.30%,Hard
Boris Becker,146.5,29.80%,51.10%,24.90%,40.70%,Hard
Paul Haarhuis,146.5,29.80%,50.80%,24.30%,41.60%,Hard
Mikael Pernfors,146.5,29.70%,48.30%,24.60%,43.90%,Hard
Gael Monfils,146.5,31.10%,49.60%,24.90%,40.90%,Hard
Brett Steven,146.5,30.80%,50.60%,24.60%,40.50%,Hard
Lars Jonsson,146.4,28.40%,51.90%,25.10%,41.00%,Hard
Fabio Fognini,146.3,29.20%,50.20%,24.30%,42.60%,Hard
Thierry Champion,146.2,30.60%,51.60%,24.50%,39.50%,Hard
Jeff Tarango,146.2,28.90%,51.10%,25.10%,41.10%,Hard
John Millman,146.1,28.50%,50.90%,23.70%,43.00%,Hard
Jimmy Wang,146.1,29.30%,50.70%,24.20%,41.90%,Hard
Henrik Holm,146,32.50%,48.30%,24.40%,40.80%,Hard
