Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Dominik Koepfer,143.8,31.50%,50.00%,23.50%,38.80%,All
Derrick Rostagno,143.8,30.10%,50.70%,23.70%,39.30%,All
Darren Cahill,143.7,28.70%,51.10%,23.10%,40.80%,All
Guillermo Garcia-Lopez,143.6,29.80%,50.40%,23.40%,40.00%,All
Cedric Pioline,143.6,29.10%,50.90%,23.70%,39.90%,All
Dinu Pescariu,143.6,29.40%,49.80%,23.20%,41.20%,All
Sargis Sargsian,143.6,29.80%,49.80%,23.40%,40.60%,All
Henri Leconte,143.5,30.50%,49.90%,23.40%,39.70%,All
Andreas Vinciguerra,143.5,28.70%,49.40%,23.00%,42.40%,All
Marcelo Charpentier,143.4,29.70%,50.80%,23.00%,39.90%,All
Doug Flach,143.4,28.60%,51.10%,23.90%,39.80%,All
Stefano Galvani,143.4,30.30%,50.00%,23.60%,39.50%,All
Viktor Troicki,143.3,30.30%,49.20%,23.20%,40.60%,All
Omar Camporese,143.2,29.70%,48.60%,22.30%,42.60%,All
Sergio Roitman,143.1,30.90%,50.90%,23.10%,38.20%,All
Dominic Thiem,143.1,30.20%,50.10%,23.60%,39.20%,All
Alex Bogomolov Jr.,143,28.40%,50.60%,22.90%,41.10%,All
Xavier Daufresne,143,27.80%,52.90%,22.80%,39.50%,All
Jacobo Diaz,143,29.80%,48.80%,23.60%,40.80%,All
John Fitzgerald,143,28.90%,51.60%,23.30%,39.20%,All
Adrian Mannarino,143,28.60%,50.00%,22.50%,41.90%,All
Chris Woodruff,143,28.60%,51.90%,24.30%,38.20%,All
Alessio Di Mauro,142.9,28.50%,48.60%,22.50%,43.30%,All
Arnaud Clement,142.9,28.20%,51.80%,23.50%,39.40%,All
Jan Hernych,142.9,30.00%,49.60%,22.60%,40.70%,All
Zeljko Krajan,142.8,29.70%,52.80%,22.70%,37.60%,All
Cristiano Caratti,142.7,29.50%,50.70%,23.20%,39.30%,All
Albert Ramos-Vinolas,142.7,29.60%,49.80%,23.00%,40.30%,All
Florian Mayer,142.7,29.10%,49.60%,23.10%,40.90%,All
Andreas Seppi,142.7,29.30%,50.00%,22.90%,40.50%,All
David Wheaton,142.7,28.00%,52.10%,23.00%,39.60%,All
Marcos Baghdatis,142.6,29.50%,50.10%,22.70%,40.30%,All
Tommy Haas,142.6,29.10%,49.90%,23.50%,40.10%,All
Radek Stepanek,142.6,29.90%,49.60%,22.70%,40.40%,All
Mikhail Kukushkin,142.5,27.80%,51.30%,22.50%,40.90%,All
Rui Machado,142.5,30.20%,49.70%,22.10%,40.50%,All
Fred Gil,142.4,29.70%,49.40%,22.40%,40.90%,All
Todd Martin,142.4,28.00%,51.90%,22.30%,40.20%,All
Gianluca Pozzi,142.4,30.00%,49.60%,23.00%,39.80%,All
Steve Campbell,142.3,27.00%,50.00%,22.50%,42.80%,All
Yuri Schukin,142.3,28.60%,49.10%,21.20%,43.40%,All
Javier Frana,142.2,29.00%,50.60%,22.10%,40.50%,All
Jose Acasuso,142.1,29.30%,50.60%,22.90%,39.30%,All
Marcel Granollers,142.1,30.30%,48.70%,23.00%,40.10%,All
Christo Van Rensburg,142.1,31.00%,49.50%,23.70%,37.90%,All
Adrian Voinea,142,29.10%,49.70%,22.60%,40.60%,All
Maximo Gonzalez,141.9,30.40%,50.10%,23.00%,38.40%,All
Fernando Gonzalez,141.9,29.80%,49.60%,22.30%,40.20%,All
Jimmy Wang,141.9,29.10%,49.90%,22.70%,40.20%,All
Cedrik-Marcel Stebe,141.8,30.50%,49.70%,23.10%,38.50%,All
Stefano Pescosolido,141.7,29.40%,49.40%,23.40%,39.50%,All
Stephane Huet,141.6,28.50%,50.60%,22.00%,40.50%,All
Robby Ginepri,141.6,28.40%,50.50%,22.90%,39.80%,All
Vincent Millot,141.6,28.30%,48.80%,22.60%,41.90%,All
Bjorn Phau,141.6,29.30%,49.40%,21.90%,41.00%,All
Corentin Moutet,141.6,30.30%,48.60%,22.20%,40.50%,All
John van Lottum,141.6,28.40%,49.90%,21.20%,42.10%,All
Ryan Sweeting,141.6,26.90%,50.70%,21.90%,42.10%,All
Mariano Puerta,141.5,28.60%,49.00%,22.30%,41.60%,All
Patrick Rafter,141.5,29.20%,49.90%,22.50%,39.90%,All
Alejandro Falla,141.4,28.70%,49.80%,22.30%,40.60%,All
Philipp Kohlschreiber,141.4,29.20%,49.80%,22.20%,40.20%,All
